ID	PSSM-Id	CD_short_name	CD_description	COG_IdentityPercent	COG.Evalue	COG.Bitscore	COG	COG_category	COG_category_u	COG_color	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host	Host_Homologue_Result	Description	Strain	Genus	Gram_Stain	SubcellularLocalization	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult	Host_Homologue_Result_All	Bacteria	Type_of_Protein2
WP_017807063	223973	LpxA	Acyl-[acyl_carrier_protein]--UDP-N-acetylglucosamine_O-acyltransferase_[Cell_wall/membrane/envelope_biogenesis].	64.615	1.06e-160	443	COG1043	M	M	ECFCAC	Cell_wall/membrane/envelope_biogenesis	GLOB	1	0	0	0	0	0	DEG10220443	40.625	2.35e-58	186	Essential	28697.98	7.6345	0.237	< 8	< 50 kDa	VFG011404(gb|WP_002964279)	34.661	5.02e-54	176	Probable Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	acyl-ACP--UDP-N-acetylglucosamine_O-acyltransferase_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.292771	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807073	224976	PyrR	Pyrimidine_operon_attenuation_protein/uracil_phosphoribosyltransferase__[Nucleotide_transport_and_metabolism].	54.696	1.16e-86	249	COG2065	F	F	DCECFC	Nucleotide_transport_and_metabolism	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	20859.06	8.3768	0.477	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	bifunctional_pyr_operon_transcriptional_regulator/uracil_phosphoribosyltransferase_PyrR_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.212952	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807081	226239	ManZ	Phosphotransferase_system,_mannose/fructose/N-acetylgalactosamine-specific_component_IID_[Carbohydrate_transport_and_metabolism].	59.783	9.92e-144	401	COG3716	G	G	CCFCFC	Carbohydrate_transport_and_metabolism	TM	3	0	3	0	5	0	DEG10580232	47.697	5.22e-102	299	Essential	30285.78	9.2742	0.219	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_PTS_mannose_transporter_subunit_IID_[Avibacterium]	GCF_036400455.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.563311	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	2 or more Alpha helix Transmembrane Steps
WP_017807082	226238	ManY	Phosphotransferase_system,_mannose/fructose/N-acetylgalactosamine-specific_component_IIC_[Carbohydrate_transport_and_metabolism].	51.88	7.43e-89	262	COG3715	G	G	CCFCFC	Carbohydrate_transport_and_metabolism	TM	5	0	5	0	9	0	DEG10580231	49.597	2.06e-51	168	Essential	27909.13	5.5028	0.533	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_PTS_mannose/fructose/sorbose_transporter_subunit_IIC_[Avibacterium]	GCF_036400455.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.358637	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	2 or more Alpha helix Transmembrane Steps
WP_017807091	223672	YurZ	Uncharacterized_conserved_protein_YurZ,_alkylhydroperoxidase/carboxymuconolactone_decarboxylase_family__[General_function_prediction_only].	37.5	1.68e-18	72	COG0599	R	R	E0E0E0	General_function_prediction_only	GLOB	1	0	0	0	0	0	DEG10050382	79.464	1.56e-40	129	Essential	11841.56	6.4603	0.684	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	carboxymuconolactone_decarboxylase_family_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.496524	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807131	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	7947.29	11.2898	0.952	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.444045	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807136	-	-	-	-	-	-	-	-	-	-	-	SP+TM	1	0	1	0	1	1	-	-	-	-	Non Essential	10372.46	9.0045	0.405	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.455835	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807138	224638	YcfA	Predicted_RNA_binding_protein_YcfA,_dsRBD-like_fold,_HicA-like_mRNA_interferase_family_[General_function_prediction_only].	57.377	1.74e-20	73.2	COG1724	R	R	E0E0E0	General_function_prediction_only	GLOB	1	0	0	0	0	0	DEG10280010	42.105	6.78e-11	51.2	Essential	6746.98	11.2162	0.843	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	type_II_toxin-antitoxin_system_HicA_family_toxin_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.651913	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807139	224514	HicB	Predicted_nuclease_of_the_RNAse_H_fold,_HicB_family_[Defense_mechanisms].	57.377	1.21e-18	71.7	COG1598	V	V	FCFCBC	Defense_mechanisms	GLOB	1	0	0	0	0	0	DEG10550567	41.176	3.51e-29	102	Essential	14984.09	4.5312	0.849	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	type_II_toxin-antitoxin_system_HicB_family_antitoxin_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.502171	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807140	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	8446.83	10.2164	0.629	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.324705	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807148	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	18045.46	4.0425	0.979	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	phage_tail_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.338853	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807149	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	25748.29	11.3599	0.895	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	phage_virion_morphogenesis_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.434843	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807151	-	-	-	-	-	-	-	-	-	-	-	TM	2	0	1	0	2	0	-	-	-	-	Non Essential	8773.11	10.055	0.158	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	phage_holin_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.3987	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	2 or more Alpha helix Transmembrane Steps
WP_017807162	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	6108.03	7.6765	0.416	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	DUF5363_domain-containing_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.314732	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807170	223884	SdaC	Amino_acid_permease_[Amino_acid_transport_and_metabolism].	36.145	4.16e-97	293	COG0814	E	E	DCFCFC	Amino_acid_transport_and_metabolism	TM	6	0	6	0	11	0	DEG10520230	32.471	6.87e-63	207	Essential	45937.66	9.3045	0.182	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	serine/threonine_transporter_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.579137	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	2 or more Alpha helix Transmembrane Steps
WP_017807181	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	7255.22	6.7185	0.634	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	DUF1508_domain-containing_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.780179	Adhesin	ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807186	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	14183.06	4.1567	0.902	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.398475	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807187	-	-	-	-	-	-	-	-	-	-	-	GLOB	0	0	1	0	0	0	-	-	-	-	Non Essential	18877.13	4.7911	0.392	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.783349	Adhesin	ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807202	-	-	-	-	-	-	-	-	-	-	-	GLOB	0	0	1	0	0	0	-	-	-	-	Non Essential	59852.13	6.9984	0.276	< 8	50-100 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.374334	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807221	225764	PsiE	Phosphate_starvation-inducible_membrane_PsiE_(function_unknown)__[General_function_prediction_only].	63.492	8.96e-37	119	COG3223	R	R	E0E0E0	General_function_prediction_only	TM	3	0	2	0	4	0	DEG10180576	61.6	3.01e-40	130	Essential	15670.83	7.1941	0.604	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	phosphate-starvation-inducible_protein_PsiE_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.362716	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	2 or more Alpha helix Transmembrane Steps
WP_017807223	224327	CpdA	3',5'-cyclic_AMP_phosphodiesterase_CpdA_[Signal_transduction_mechanisms].	31.183	1.05e-52	171	COG1409	T	T	FCFCAC	Signal_transduction_mechanisms	GLOB	1	0	0	0	0	0	DEG10150300	34.944	2.33e-55	179	Essential	31832.98	6.0646	0.487	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	3',5'-cyclic-AMP_phosphodiesterase_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.440887	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807231	225468	Hns	DNA-binding_protein_H-NS_[Transcription].	46.457	3.69e-20	77.1	COG2916	K	K	FCDCEC	Transcription	GLOB	1	0	0	0	0	0	DEG10560969	44.444	2.57e-28	100	Essential	14895.23	9.9819	0.322	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	H-NS_family_nucleoid-associated_regulatory_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.252201	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807246	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	7144.31	10.0446	0.553	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_hypothetical_protein_[Pasteurellaceae]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.239013	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807272	225101	NagE	Phosphotransferase_system_IIA_component_[Carbohydrate_transport_and_metabolism].	53.548	1.04e-67	200	COG2190	G	G	CCFCFC	Carbohydrate_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10570227	38.562	1.83e-30	115	Essential	18030.72	4.4067	0.785	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	PTS_glucose_transporter_subunit_IIA_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.290377	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807284	224470	DsrE	Sulfur_relay_(sulfurtransferase)_complex_TusBCD_TusD_component,_DsrE_family__[Inorganic_ion_transport_and_metabolism].	39.062	2.95e-37	120	COG1553	P	P	CCCCFC	Inorganic_ion_transport_and_metabolism	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	13006	5.524	0.776	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	DsrE_family_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.659599	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807318	225180	UhpC	Sugar_phosphate_permease_[Carbohydrate_transport_and_metabolism].	48.559	0	567	COG2271	G	G	CCFCFC	Carbohydrate_transport_and_metabolism	TM	7	0	6	0	12	0	DEG10470477	41.505	5.45e-116	347	Essential	53215.54	8.5618	0.261	> 8	50-100 kDa	VFG032173(gb|WP_014092267)	28.87	1.6e-45	164	Probable Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	glycerol-3-phosphate_transporter_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.701584	Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	2 or more Alpha helix Transmembrane Steps
WP_017807323	225956	YegP	Uncharacterized_conserved_protein_YegP,_UPF0339_family_[Function_unknown].	42.857	5.55e-21	74	COG3422	S	S	CCCCCC	Function_unknown	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	6573.5	7.8564	0.277	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	DUF1508_domain-containing_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.499301	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807336	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	6746.83	10.6249	0.542	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_type_II_toxin-antitoxin_system_HicA_family_toxin_[Avibacterium]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.393276	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807355	223756	RraA	Regulator_of_RNase_E_activity_RraA_[Translation,_ribosomal_structure_and_biogenesis].	40.476	2.38e-64	193	COG0684	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	17703.86	3.4801	0.977	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	ribonuclease_E_activity_regulator_RraA_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.527336	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807356	224491	MenA	1,4-dihydroxy-2-naphthoate_octaprenyltransferase_[Coenzyme_transport_and_metabolism].	45.695	4.24e-95	280	COG1575	H	H	DCDCFC	Coenzyme_transport_and_metabolism	TM	5	0	5	0	9	0	DEG10270098	35.082	4.94e-38	135	Essential	33139.47	9.773	0.202	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	NP_001383529.1	25.89	1.91e-11	65.5	Gallus gallus	Host Homologue	1,4-dihydroxy-2-naphthoate_polyprenyltransferase_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.581563	Non-Adhesin	NON-ANTIGEN	Host Homologue	Avibacterium_paragallinarum	2 or more Alpha helix Transmembrane Steps
WP_017807360	227307	XerC	Site-specific_recombinase_XerC_[Replication,_recombination_and_repair].	63.605	2.23e-180	496	COG4973	L	L	FCDCDC	Replication,_recombination_and_repair	GLOB	1	0	0	0	0	0	DEG10550133	32.414	1.91e-44	152	Essential	33923.06	10.818	0.286	> 8	< 50 kDa	VFG048231(gb|WP_012967261)	27.778	9.65e-13	65.9	Probable Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	tyrosine_recombinase_XerC_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.382131	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807361	223290	FAU1	5-formyltetrahydrofolate_cyclo-ligase_[Coenzyme_transport_and_metabolism].	41.758	4.57e-60	183	COG0212	H	H	DCDCFC	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10050310	64.171	6.25e-90	260	Essential	22471.13	10.2781	0.269	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	NP_001264555.2	30.688	1.67e-18	80.9	Gallus gallus	Host Homologue	5-formyltetrahydrofolate_cyclo-ligase_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.341245	Non-Adhesin	NON-ANTIGEN	Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807368	224791	RbsB	ABC-type_sugar_transport_system,_periplasmic_component,_contains_N-terminal_xre_family_HTH_domain_[Carbohydrate_transport_and_metabolism].	33.54	2.4e-59	190	COG1879	G	G	CCFCFC	Carbohydrate_transport_and_metabolism	SP	0	0	1	0	0	1	DEG10570349	34.507	6.54e-41	144	Essential	34342.89	6.8904	0.378	< 8	< 50 kDa	VFG049313(gb|WP_002910453)	35.664	9.67e-52	172	Probable Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	sugar_ABC_transporter_substrate-binding_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Periplasmic	Inside the cell	SP	0.512114	Non-Adhesin	ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807381	225472	DsrC	Sulfur_relay_(sulfurtransferase)_protein,_DsrC/TusE_family_[Inorganic_ion_transport_and_metabolism].	64.815	4.07e-64	187	COG2920	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10520179	52.525	1.42e-32	109	Essential	12600.41	6.4651	0.412	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	TusE/DsrC/DsvC_family_sulfur_relay_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.670072	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807386	224932	MET2	Homoserine_acetyltransferase__[Amino_acid_transport_and_metabolism].	49.582	5.68e-171	478	COG2021	E	E	DCFCFC	Amino_acid_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10270591	35.043	3.38e-66	213	Essential	40714.33	5.3781	0.422	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	homoserine_O-acetyltransferase_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.402819	Non-Adhesin	ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807387	225500	SanA	Uncharacterized_periplasmic_protein_SanA,_affects_membrane_permeability_for_vancomycin_[Cell_wall/membrane/envelope_biogenesis].	51.152	8.63e-99	284	COG2949	M	M	ECFCAC	Cell_wall/membrane/envelope_biogenesis	TM	1	0	1	0	1	0	DEG10180458	33.628	1.45e-38	133	Essential	27225.26	9.9938	0.441	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	ElyC/SanA/YdcF_family_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.447114	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	1 Alpha helix Transmembrane Step
WP_017807388	224525	PurR	DNA-binding_transcriptional_regulator,_LacI/PurR_family_[Transcription].	31.928	1.57e-85	258	COG1609	K	K	FCDCEC	Transcription	GLOB	1	0	0	0	0	0	DEG10110163	25.49	3.63e-16	77.4	Essential	37414.21	9.6474	0.219	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	catabolite_repressor/activator_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.336657	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807394	225432	KdsA	3-deoxy-D-manno-octulosonic_acid_(KDO)_8-phosphate_synthase_[Cell_wall/membrane/envelope_biogenesis].	62.857	0	528	COG2877	M	M	ECFCAC	Cell_wall/membrane/envelope_biogenesis	GLOB	1	0	0	0	0	0	DEG10460220	43.262	1.66e-68	213	Essential	31270.23	5.7572	0.374	< 8	< 50 kDa	VFG011415(gb|WP_002966843)	44.364	2.78e-74	228	Probable Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	3-deoxy-8-phosphooctulonate_synthase_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.271305	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807395	225464	SirB1	Regulator_of_sirC_expression,_contains_transglutaminase-like_and_TPR_domains_[Signal_transduction_mechanisms].	34.498	8.08e-49	159	COG2912	T	T	FCFCAC	Signal_transduction_mechanisms	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	31799.21	4.7147	0.732	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	tetratricopeptide_repeat_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.242719	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807396	225443	HemK	Methylase_of_polypeptide_chain_release_factors_[Translation,_ribosomal_structure_and_biogenesis].	41.333	4.16e-97	284	COG2890	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10410134	32.727	5.74e-31	117	Essential	34018.95	5.8536	0.508	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_025010333.2	30.901	4.38e-12	66.2	Gallus gallus	Host Homologue	peptide_chain_release_factor_N(5)-glutamine_methyltransferase_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.407809	Non-Adhesin	NON-ANTIGEN	Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807429	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	7874.07	8.5456	0.39	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.251469	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
WP_017807431	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	54498.71	4.6835	0.564	< 8	50-100 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_036400455.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.572133	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Avibacterium_paragallinarum	Secreted
